val_loss,stopped_epoch,d_model,nhead,num_layers,dim_feedforward,dropout,batch_size,lr
0.23016951465979218,28,64,8,4,512,0.1,128,0.000185
0.23761778682470322,29,64,8,4,512,0.2,32,0.000136
0.23838060230016708,23,128,8,4,512,0.2,32,0.000146
0.23961696540936828,22,64,4,4,256,0.1,128,0.000704
0.2410409119911492,29,256,8,4,256,0.2,128,0.000206
0.24610050907358527,29,64,2,4,512,0.1,128,0.000218
0.2492400842308998,23,128,8,4,256,0.2,32,0.000384
0.24945180106163026,23,64,2,4,512,0.1,32,0.000384
0.2500063795892019,20,256,8,3,128,0.1,64,0.000459
0.25255816930532454,30,64,8,3,512,0.2,32,0.000767
0.25335705280303955,20,256,4,4,256,0.1,32,0.000274
0.25458555372934494,23,128,4,4,256,0.1,64,0.00016
0.25504387309774756,17,256,8,4,256,0.2,128,0.00049
0.2567382147535682,19,128,2,4,128,0.1,128,0.000951
0.25782206235453486,27,256,8,3,512,0.1,128,0.000768
0.25866327351993984,21,128,4,3,128,0.1,64,0.000303
0.25974685049057006,22,128,8,2,512,0.2,32,0.000488
0.26012895357608795,21,256,2,4,256,0.1,32,0.000115
0.26444934867322445,30,128,8,4,128,0.3,128,0.000178
0.2674990710616112,21,64,2,3,256,0.1,32,0.000638
0.268524245262146,23,64,8,2,128,0.1,32,0.000998
0.26915779802948236,30,128,4,4,128,0.3,128,0.000293
0.2698750820159912,27,64,2,3,128,0.1,32,0.000458
0.2711259540584352,26,128,4,3,128,0.2,64,0.000284
0.2715381296381118,25,256,2,4,128,0.3,64,0.000475
0.2719371438622475,30,64,2,4,128,0.1,32,0.000118
0.2734317909926176,30,64,2,4,128,0.1,128,0.000174
0.27482734857097507,29,128,4,3,128,0.1,64,0.000143
0.27777233300730586,30,64,8,4,512,0.3,128,0.000121
0.27964544342830777,26,256,8,3,128,0.3,128,0.000158
0.2814973305463791,25,256,2,4,512,0.2,32,0.00052
0.28158773807808757,30,256,2,2,512,0.1,128,0.00071
0.28499832935631275,30,64,4,3,256,0.2,128,0.000184
0.2882303645213445,26,64,2,4,128,0.3,64,0.000379
0.2902575912885368,30,64,8,2,128,0.1,128,0.000312
0.2927428561449051,19,256,2,3,128,0.1,32,0.000106
0.29302914487937143,29,128,8,3,128,0.3,64,0.000133
0.2935316450893879,30,64,8,2,256,0.2,128,0.000264
0.2958170589990914,30,256,2,2,512,0.2,128,0.000322
0.2966015405125088,29,128,4,2,512,0.2,64,0.000155
0.2970602810382843,30,64,8,2,128,0.2,64,0.000211
0.2973158966302872,30,128,2,2,256,0.3,32,0.000749
0.29816067076864694,30,64,2,2,256,0.1,64,0.000344
0.30098684274014975,29,128,4,2,512,0.3,64,0.000144
0.3018248145069395,29,128,8,2,128,0.3,64,0.00019
0.3021957827731967,30,64,4,4,128,0.3,128,0.000132
0.3056167449269976,25,256,2,2,128,0.2,64,0.000342
0.31499299174174666,30,128,2,2,512,0.3,128,0.000184
0.32412908379993743,30,64,4,2,256,0.3,64,0.000118
0.33236919820308686,30,64,2,2,512,0.3,32,0.000124
