val_loss,stopped_epoch,d_model,nhead,num_layers,dim_feedforward,dropout,batch_size,lr
0.1493495620638132,30,256,4,2,256,0.2,32,0.000506
0.150171182513237,30,384,4,3,128,0.2,128,0.000324
0.19475101363658906,30,128,2,2,256,0.1,128,0.000914
0.2042894002199173,30,256,4,2,256,0.3,128,0.000468
0.20567325335741043,30,128,4,4,128,0.1,64,0.000906
0.23613781535625458,30,64,2,3,256,0.2,64,0.000844
0.2362721803188324,30,64,2,2,256,0.1,32,0.00051
0.23790737913548946,30,128,2,6,256,0.2,32,0.000683
0.23893518352508544,30,384,8,2,128,0.3,128,0.000936
0.24009096097946167,30,64,2,2,128,0.1,32,0.000389
0.240417977809906,30,256,8,3,256,0.1,128,0.000662
0.24382891170680523,30,64,8,2,256,0.2,32,0.000855
0.2474808181375265,30,256,16,5,128,0.1,32,0.000794
0.25019474121928215,30,384,2,6,256,0.2,32,0.000243
0.2511513404846191,30,384,8,2,512,0.1,128,0.000869
0.25133571326732634,30,64,8,6,512,0.1,128,0.000704
0.2513574381172657,30,128,16,5,1024,0.1,32,0.000175
0.25162872862815855,30,128,2,6,1024,0.1,64,0.000364
0.2527160547375679,28,256,8,6,512,0.2,64,0.000162
0.25288397005200386,30,128,4,3,1024,0.1,32,0.000732
0.2535228400528431,30,256,2,3,512,0.1,32,0.000658
0.2535749936103821,30,64,16,6,128,0.1,128,0.000643
0.2536254416704178,30,384,2,6,256,0.2,64,0.000331
0.25440723522007463,30,384,16,3,1024,0.1,32,0.00023
0.25543104381859305,30,384,2,4,512,0.1,32,0.000129
0.25555217170715333,23,64,16,5,256,0.1,64,0.000745
0.25598410189151766,30,256,2,3,1024,0.2,64,0.000574
0.2562270394563675,24,128,16,5,128,0.1,32,0.000356
0.2565029344558716,30,256,16,6,1024,0.3,64,0.00041
0.2568804798126221,30,256,4,6,512,0.3,128,0.000274
0.2577055753469467,26,256,8,5,256,0.2,32,0.000129
0.25776666165888307,30,384,4,4,1024,0.3,32,0.000413
0.257910658955574,30,256,2,4,1024,0.1,128,0.000327
0.2583297526240349,29,384,8,4,256,0.1,64,0.000253
0.25845965042710306,30,64,4,4,1024,0.2,32,0.000663
0.2587567708492279,30,384,2,2,1024,0.1,64,0.000361
0.25901112586259845,30,128,2,5,512,0.1,64,0.00024
0.2593094732910395,30,64,2,6,512,0.2,32,0.000263
0.25950587558746335,30,64,2,6,128,0.1,128,0.000287
0.26003583025932314,30,256,16,3,512,0.1,128,0.000634
0.2613447288274765,30,128,16,3,512,0.3,128,0.000885
0.26174775505065917,30,128,8,6,512,0.3,128,0.000138
0.26185333500802516,30,64,16,5,1024,0.3,32,0.000226
0.2625045763850212,30,128,8,4,256,0.2,64,0.000275
0.26269057056307793,30,128,16,3,512,0.2,32,0.000138
0.26281157368421554,30,128,8,4,128,0.1,64,0.000136
0.2634997749328613,30,64,4,5,128,0.2,64,0.000424
0.26437727695703506,30,256,2,5,512,0.3,64,0.000128
0.2643822993636131,30,384,8,4,256,0.3,64,0.000111
0.2643980177640915,29,128,8,4,128,0.1,128,0.00032
0.2644282281398773,30,384,4,3,512,0.2,128,0.000849
0.26485887956619264,30,128,2,6,1024,0.3,128,0.000226
0.2652055225074291,30,64,2,4,128,0.1,32,0.000253
0.2656664996743202,29,256,4,3,512,0.2,64,0.000184
0.26577700830996037,30,64,8,6,256,0.3,32,0.000105
0.2662525416612625,30,128,8,5,1024,0.3,64,0.000163
0.26760658925771713,30,128,16,3,512,0.3,64,0.000282
0.2694602261781692,30,64,2,3,256,0.1,128,0.000552
0.26967517405748365,30,64,4,6,256,0.3,64,0.000187
0.27146560806035996,30,128,4,4,256,0.3,64,0.00029
0.2719696916937828,30,128,2,5,128,0.2,64,0.000111
0.2723973870575428,30,384,4,2,256,0.2,32,0.000732
0.2734902901649475,30,64,4,6,256,0.3,128,0.000253
0.27502608954906466,30,64,8,2,512,0.1,128,0.000232
0.27508841001987455,30,64,8,6,1024,0.3,128,0.000114
0.2770436243414879,30,128,4,3,128,0.3,64,0.000237
0.27781308126449583,30,128,2,5,128,0.3,32,0.000122
0.27812832248210906,19,384,8,5,512,0.2,128,0.000844
0.27858999049663546,30,384,4,3,128,0.3,128,0.000155
0.2786114354133606,30,256,4,2,512,0.3,128,0.000322
0.27955734395980836,30,128,16,3,256,0.3,128,0.000312
0.2806039955615997,30,128,16,2,512,0.2,128,0.000213
0.28351596391201017,30,64,2,3,256,0.3,128,0.0006
0.28392575412988663,30,64,8,2,512,0.3,64,0.00042
0.3337704937458038,15,384,2,5,128,0.3,64,0.00094
