val_loss,stopped_epoch,d_model,nhead,num_layers,dim_feedforward,dropout,batch_size,lr
0.37125992000103,25,64,16,4,1024,0.1,32,0.000812
0.37518739184737204,25,384,16,5,512,0.1,32,0.000489
0.37528527176380155,25,64,8,6,1024,0.1,64,0.000532
0.3772323825955391,25,256,16,6,128,0.2,32,0.000651
0.3811191375255585,21,64,16,6,128,0.1,32,0.00031
0.3852018676996231,25,64,8,5,256,0.1,32,0.000212
0.3853842694759369,23,384,4,5,256,0.1,32,0.000175
0.3858442361354828,25,64,4,5,512,0.1,128,0.000295
0.38650599908828737,25,256,2,3,256,0.1,128,0.000553
0.38676425409317017,25,384,8,5,128,0.2,128,0.000123
0.3870493202209473,25,256,16,5,512,0.1,64,0.00049
0.38774713858962057,25,128,8,2,128,0.1,32,0.000629
0.38802356719970704,25,256,16,4,1024,0.2,128,0.000133
0.3883464593887329,25,384,2,5,128,0.1,64,0.000309
0.389466415643692,25,128,16,6,1024,0.3,128,0.000284
0.3898515831232071,25,384,2,6,512,0.3,64,0.000173
0.39072382226586344,20,128,16,5,1024,0.2,32,0.000452
0.39138575649261476,25,384,16,6,512,0.3,64,0.000113
0.39187813925743104,24,128,4,3,1024,0.1,64,0.000373
0.39225702226161957,25,64,4,6,128,0.1,64,0.000438
0.39264311265945434,25,128,2,6,512,0.2,128,0.000134
0.39357061502337454,25,64,2,5,128,0.1,32,0.000202
0.39375166189670563,25,256,8,4,256,0.1,64,0.000115
0.39462435233592985,25,256,2,2,256,0.1,64,0.000357
0.3948377990722656,16,384,8,6,1024,0.2,64,0.000215
0.39542254161834717,23,256,8,4,1024,0.2,128,0.000677
0.39561987257003783,25,256,8,5,128,0.3,128,0.000211
0.39564607965946197,25,128,16,5,512,0.3,64,0.000282
0.3964235345125198,25,384,2,6,256,0.3,32,0.000107
0.3967127511501312,25,256,16,2,128,0.2,64,0.00044
0.39696380257606506,24,384,4,3,1024,0.1,128,0.000286
0.3979438832104206,25,256,8,5,128,0.3,32,0.000505
0.3985072644650936,25,256,4,6,256,0.3,32,0.000266
0.4000799441337585,24,64,16,2,1024,0.1,128,0.000951
0.4006966292858124,25,384,2,3,512,0.1,128,0.000414
0.4009220643341541,20,128,16,5,512,0.3,32,0.000434
0.4015907815694809,25,256,2,4,1024,0.3,64,0.000721
0.4019709199368954,25,128,4,3,128,0.3,32,0.000612
0.40266508078575136,25,256,4,3,512,0.1,128,0.000278
0.40311085963249205,25,128,2,5,512,0.3,64,0.000189
0.4046713235080242,17,256,16,5,128,0.3,32,0.00032
0.4047412506043911,25,64,4,6,512,0.3,32,0.000296
0.40742278230190276,25,64,16,4,256,0.3,64,0.000681
0.40770515394210816,19,384,8,3,128,0.2,64,0.000476
0.4089139459133148,25,64,4,4,512,0.2,64,0.000315
0.4104634385108948,25,64,16,6,128,0.3,128,0.000319
0.4112791714668274,25,256,2,6,128,0.3,64,0.000123
0.4118294745981693,25,384,8,3,128,0.3,32,0.000203
0.414227508187294,25,64,16,4,1024,0.3,64,0.000234
0.4152965932786465,25,128,4,3,128,0.2,32,0.000213
0.41678310418128967,25,256,4,4,128,0.3,128,0.00023
0.41701797950267794,25,256,2,5,128,0.3,64,0.000748
0.41835577511787414,21,128,16,2,1024,0.2,64,0.000336
0.42012474635243413,25,256,2,3,128,0.1,32,0.000144
0.42026541659235955,25,384,8,2,512,0.2,32,0.000153
0.42075035470724104,21,64,16,3,1024,0.3,32,0.000417
0.42184568029642106,22,384,8,6,512,0.1,32,0.00053
0.42867840218544007,25,384,16,2,1024,0.3,64,0.00012
0.432235999584198,25,256,4,3,512,0.3,128,0.000118
0.43522542238235473,25,64,8,2,512,0.3,32,0.000615
0.439964630484581,25,64,4,3,128,0.2,64,0.000257
0.43996781229972837,25,256,2,2,256,0.1,128,0.000294
0.44590646386146543,25,128,4,3,128,0.3,128,0.000418
0.449989949285984,25,256,2,2,256,0.3,32,0.000407
0.45591245937347413,25,128,8,2,512,0.3,32,0.000111
0.4591868236064911,25,256,2,2,512,0.2,64,0.000111
0.46421611857414247,25,256,2,2,1024,0.3,128,0.000986
0.4777978358268738,15,256,2,5,512,0.1,128,0.00095
0.5923130896091461,9,384,16,5,512,0.2,64,0.000931
1.2278602366447449,9,384,2,6,512,0.2,64,0.000746
