val_loss,stopped_epoch,d_model,nhead,num_layers,dim_feedforward,dropout,batch_size,lr
0.3637368212938309,25,128,4,4,128,0.1,64,0.000906
0.3715676168203354,25,256,16,5,128,0.1,32,0.000794
0.37507383728027344,25,64,8,6,512,0.1,128,0.000704
0.37774520844221116,24,128,16,5,1024,0.1,32,0.000175
0.37853631675243377,25,128,2,6,1024,0.1,64,0.000364
0.3840487289428711,23,128,2,5,512,0.1,64,0.00024
0.384106901049614,18,128,16,5,128,0.1,32,0.000356
0.38440523624420164,23,64,16,6,128,0.1,128,0.000643
0.385765471637249,22,384,16,3,1024,0.1,32,0.00023
0.3859139124751091,25,256,8,5,256,0.2,32,0.000129
0.38921876895427704,23,384,2,4,512,0.1,32,0.000129
0.3908557870686054,25,64,4,4,1024,0.2,32,0.000663
0.391364825963974,25,256,2,4,1024,0.1,128,0.000327
0.3921243155002594,25,256,2,3,1024,0.2,64,0.000574
0.39341970935463905,25,64,2,6,512,0.2,32,0.000263
0.39465311288833615,25,64,2,6,128,0.1,128,0.000287
0.3948207883834839,25,256,4,6,512,0.3,128,0.000274
0.39723385000228884,25,128,2,2,256,0.1,128,0.000914
0.39733700489997864,23,128,8,4,128,0.1,128,0.00032
0.3979112453460693,25,128,8,5,1024,0.3,64,0.000163
0.3999192109704018,25,256,4,2,256,0.2,32,0.000506
0.39993270301818845,24,128,8,4,128,0.1,64,0.000136
0.40122914481163025,25,128,8,6,512,0.3,128,0.000138
0.40164902079105375,25,64,4,5,128,0.2,64,0.000424
0.40210330310463904,25,64,16,5,1024,0.3,32,0.000226
0.4025281175971031,25,128,16,3,512,0.2,32,0.000138
0.40260235530138017,25,64,8,2,256,0.2,32,0.000855
0.40337780833244324,25,64,2,4,128,0.1,32,0.000253
0.40403701210021975,25,64,2,3,256,0.2,64,0.000844
0.40414050006866453,25,384,8,4,256,0.3,64,0.000111
0.40483806920051574,25,64,2,2,256,0.1,32,0.00051
0.40536163592338564,25,384,4,3,512,0.2,128,0.000849
0.40981700563430784,25,128,4,4,256,0.3,64,0.00029
0.41009031915664673,25,64,2,3,256,0.1,128,0.000552
0.4122465898990631,23,256,4,3,512,0.2,64,0.000184
